route_id,service_id,trip_id,trip_headsign,"trip_short_name",direction_id,block_id,shape_id
"52_797","everyday","3252",,,,,"52_797"
"52_797","everyday","3256",,,,,"52_797"
"52_797","233","3258",,,,,"52_797"
"52_797","everyday","3262",,,,,"52_797"
"52_797","233","4008",,,,,"52_797"
"52_797","233","4011",,,,,"52_797"
"52_797","everyday","4963",,,,,"52_797"
"52_797","everyday","4964",,,,,"52_797"
"52_797","233","4966",,,,,"52_797"
"52_797","everyday","4968",,,,,"52_797"
"52_797","everyday","4970",,,,,"52_797"
"52_797","everyday","4971",,,,,"52_797"
"52_797","233","4972",,,,,"52_797"
"52_797","233","4973",,,,,"52_797"
"52_797","233","4974",,,,,"52_797"
"52_798","233","3272",,,,,"52_798"
"52_798","everyday","3278",,,,,"52_798"
"52_798","233","4046",,,,,"52_798"
"52_798","233","4991",,,,,"52_798"
"52_798","233","4992",,,,,"52_798"
"52_798","233","4993",,,,,"52_798"
"52_798","everyday","4994",,,,,"52_798"
"52_798","everyday","4995",,,,,"52_798"
"52_798","everyday","4997",,,,,"52_798"
"52_798","everyday","4998",,,,,"52_798"
"52_798","233","5002",,,,,"52_798"
"52_799","everyday","3282",,,,,"52_799"
"52_799","233","4004",,,,,"52_799"
"52_799","everyday","5020",,,,,"52_799"
"437_762","233","5021",,,,,"437_762"
"437_762","71","5022",,,,,"437_762"
"437_762","70","5024",,,,,"437_762"
"437_761","233","5012",,,,,"437_761"
"437_761","233","5017",,,,,"437_761"
"449_1209","everyday","5266",,,,,"449_1209"
"449_1209","everyday","5267",,,,,"449_1209"
"449_1209","everyday","5268",,,,,"449_1209"
"449_1209","everyday","5269",,,,,"449_1209"
"449_1209","233","5270",,,,,"449_1209"
"449_1209","233","5272",,,,,"449_1209"
"449_790","233","4999",,,,,"449_790"
"449_790","everyday","5000",,,,,"449_790"
"449_790","everyday","5003",,,,,"449_790"
"449_790","233","5006",,,,,"449_790"
"449_790","everyday","5007",,,,,"449_790"
"449_790","233","6309",,,,,"449_790"
"449_1346","everyday","6299",,,,,"449_1346"
"54_75","233","4989",,,,,"54_75"
"54_76","233","4990",,,,,"54_76"
"55_77","233","4984",,,,,"55_77"
"55_579","233","4985",,,,,"55_579"
"163_259","233","4983",,,,,"163_259"
"56_79","17","3027",,,,,"56_79"
"56_79","17","3029",,,,,"56_79"
"56_79","17","3032",,,,,"56_79"
"56_79","17","3034",,,,,"56_79"
"56_80","17","3035",,,,,"56_80"
"56_80","17","3037",,,,,"56_80"
"56_80","17","3040",,,,,"56_80"
"56_80","17","3042",,,,,"56_80"
"60_87","233","4976",,,,,"60_87"
"60_87","everyday","4979",,,,,"60_87"
"60_87","233","4981",,,,,"60_87"
"60_87","233","4982",,,,,"60_87"
"60_88","233","4986",,,,,"60_88"
"60_88","233","4987",,,,,"60_88"
"60_88","everyday","4988",,,,,"60_88"
"60_565","233","4996",,,,,"60_565"
"60_565","everyday","5001",,,,,"60_565"
"60_565","everyday","5004",,,,,"60_565"
"60_566","233","5008",,,,,"60_566"
"60_566","everyday","5014",,,,,"60_566"
"60_566","everyday","5019",,,,,"60_566"
"61_89","everyday","3403",,,,,"61_89"
"61_89","everyday","4955",,,,,"61_89"
"61_89","everyday","4956",,,,,"61_89"
"61_89","everyday","4958",,,,,"61_89"
"61_89","everyday","4959",,,,,"61_89"
"61_89","233","6274",,,,,"61_89"
"61_90","everyday","3406",,,,,"61_90"
"61_90","everyday","3408",,,,,"61_90"
"61_90","everyday","4960",,,,,"61_90"
"61_90","everyday","4961",,,,,"61_90"
"61_90","everyday","4962",,,,,"61_90"
"61_90","233","6275",,,,,"61_90"
"61_549","everyday","3410",,,,,"61_549"
"61_549","233","4965",,,,,"61_549"
"61_549","233","4967",,,,,"61_549"
"61_549","233","4969",,,,,"61_549"
"61_550","everyday","4975",,,,,"61_550"
"61_550","233","4977",,,,,"61_550"
"61_550","233","4978",,,,,"61_550"
"61_550","233","4980",,,,,"61_550"
"37_796","everyday","3395",,,,,"37_796"
"37_796","everyday","3397",,,,,"37_796"
"37_796","everyday","3400",,,,,"37_796"
"37_796","everyday","4952",,,,,"37_796"
"37_796","7","4953",,,,,"37_796"
"37_796","everyday","4954",,,,,"37_796"
"37_1206","everyday","5155",,,,,"37_1206"
"37_1206","everyday","5156",,,,,"37_1206"
"37_1206","everyday","5157",,,,,"37_1206"
"37_1206","7","5158",,,,,"37_1206"
"37_1206","everyday","5159",,,,,"37_1206"
"37_1206","everyday","5160",,,,,"37_1206"
"67_101","7","4902",,,,,"67_101"
"67_101","7","4904",,,,,"67_101"
"67_101","13","4906",,,,,"67_101"
"67_101","7","4907",,,,,"67_101"
"67_101","14","4908",,,,,"67_101"
"67_102","7","4914",,,,,"67_102"
"67_102","everyday","4915",,,,,"67_102"
"67_102","7","4916",,,,,"67_102"
"67_102","13","4918",,,,,"67_102"
"67_102","7","4919",,,,,"67_102"
"67_102","14","4920",,,,,"67_102"
"67_102","everyday","4921",,,,,"67_102"
"67_544","7","4929",,,,,"67_544"
"67_544","everyday","4931",,,,,"67_544"
"67_544","everyday","4933",,,,,"67_544"
"67_545","everyday","4936",,,,,"67_545"
"59_85","7","4899",,,,,"59_85"
"442_768","74","4898",,,,,"442_768"
"71_109","everyday","3379",,,,,"71_109"
"71_109","everyday","3853",,,,,"71_109"
"71_109","75","4884",,,,,"71_109"
"71_109","everyday","4885",,,,,"71_109"
"71_110","everyday","4889",,,,,"71_110"
"71_110","everyday","4890",,,,,"71_110"
"71_110","everyday","4892",,,,,"71_110"
"71_110","everyday","4895",,,,,"71_110"
"70_107","everyday","3343",,,,,"70_107"
"70_107","everyday","3346",,,,,"70_107"
"70_107","everyday","4847",,,,,"70_107"
"70_107","233","4849",,,,,"70_107"
"70_107","233","4850",,,,,"70_107"
"70_107","233","4851",,,,,"70_107"
"70_108","everyday","3349",,,,,"70_108"
"70_108","everyday","3352",,,,,"70_108"
"70_108","everyday","4876",,,,,"70_108"
"70_108","233","4878",,,,,"70_108"
"70_108","233","4879",,,,,"70_108"
"70_108","233","4880",,,,,"70_108"
"73_113","everyday","1131",,,,,"73_113"
"73_113","everyday","1132",,,,,"73_113"
"73_113","17","1133",,,,,"73_113"
"73_113","everyday","1134",,,,,"73_113"
"73_113","17","1135",,,,,"73_113"
"73_114","17","1359",,,,,"73_114"
"73_114","everyday","1360",,,,,"73_114"
"73_114","everyday","1361",,,,,"73_114"
"73_114","17","1362",,,,,"73_114"
"73_114","everyday","1363",,,,,"73_114"
"57_543","everyday","793",,,,,"57_543"
"57_543","everyday","4832",,,,,"57_543"
"57_543","233","4834",,,,,"57_543"
"57_543","everyday","4835",,,,,"57_543"
"57_543","everyday","4836",,,,,"57_543"
"57_730","everyday","4842",,,,,"57_730"
"62_91","everyday","3331",,,,,"62_91"
"62_91","everyday","3334",,,,,"62_91"
"62_91","233","4773",,,,,"62_91"
"62_91","233","4774",,,,,"62_91"
"62_91","everyday","4775",,,,,"62_91"
"62_91","everyday","4776",,,,,"62_91"
"62_92","everyday","3337",,,,,"62_92"
"62_92","everyday","3340",,,,,"62_92"
"62_92","233","4825",,,,,"62_92"
"62_92","233","4826",,,,,"62_92"
"62_92","everyday","4827",,,,,"62_92"
"62_92","everyday","4828",,,,,"62_92"
"331_567","everyday","4178",,,,,"331_567"
"331_567","everyday","4768",,,,,"331_567"
"331_567","233","4769",,,,,"331_567"
"331_568","everyday","4181",,,,,"331_568"
"331_568","233","4772",,,,,"331_568"
"331_1229","everyday","5518",,,,,"331_1229"
"26_29","17","184",,,,,"26_29"
"26_29","everyday","185",,,,,"26_29"
"26_29","17","186",,,,,"26_29"
"26_29","everyday","187",,,,,"26_29"
"26_29","17","188",,,,,"26_29"
"26_29","everyday","189",,,,,"26_29"
"26_29","17","190",,,,,"26_29"
"26_30","17","1352",,,,,"26_30"
"26_30","everyday","1353",,,,,"26_30"
"26_30","17","1354",,,,,"26_30"
"26_30","everyday","1355",,,,,"26_30"
"26_30","17","1356",,,,,"26_30"
"26_30","everyday","1357",,,,,"26_30"
"26_30","17","1358",,,,,"26_30"
"28_33","everyday","788",,,,,"28_33"
"28_33","everyday","790",,,,,"28_33"
"28_33","everyday","792",,,,,"28_33"
"28_33","everyday","4752",,,,,"28_33"
"28_33","233","4753",,,,,"28_33"
"28_33","everyday","4754",,,,,"28_33"
"63_93","233","4746",,,,,"63_93"
"63_561","everyday","1095",,,,,"63_561"
"63_561","7","4749",,,,,"63_561"
"74_115","everyday","3328",,,,,"74_115"
"74_115","7","4733",,,,,"74_115"
"74_562","233","4734",,,,,"74_562"
"74_562","7","4735",,,,,"74_562"
"65_97","everyday","4717",,,,,"65_97"
"65_97","233","4718",,,,,"65_97"
"65_97","7","4719",,,,,"65_97"
"65_97","7","4720",,,,,"65_97"
"65_98","everyday","4729",,,,,"65_98"
"65_98","233","4731",,,,,"65_98"
"65_98","7","4732",,,,,"65_98"
"66_99","everyday","3308",,,,,"66_99"
"66_99","everyday","4685",,,,,"66_99"
"66_99","7","4686",,,,,"66_99"
"66_99","7","4687",,,,,"66_99"
"66_99","7","4689",,,,,"66_99"
"66_99","7","4691",,,,,"66_99"
"66_99","everyday","4693",,,,,"66_99"
"66_99","everyday","4695",,,,,"66_99"
"66_100","everyday","3320",,,,,"66_100"
"66_100","everyday","4700",,,,,"66_100"
"66_100","233","4701",,,,,"66_100"
"66_100","everyday","4702",,,,,"66_100"
"66_100","7","4703",,,,,"66_100"
"66_100","7","4704",,,,,"66_100"
"66_100","7","4705",,,,,"66_100"
"66_100","7","4706",,,,,"66_100"
"66_100","everyday","4707",,,,,"66_100"
"4_1","6","4664",,,,,"4_1"
"4_1","6","4665",,,,,"4_1"
"4_1","6","4666",,,,,"4_1"
"4_1","6","4667",,,,,"4_1"
"4_1","6","4668",,,,,"4_1"
"4_1","6","4670",,,,,"4_1"
"4_1","6","4671",,,,,"4_1"
"4_1","6","4672",,,,,"4_1"
"4_2","6","4676",,,,,"4_2"
"4_2","6","4677",,,,,"4_2"
"4_2","6","4679",,,,,"4_2"
"4_2","6","4680",,,,,"4_2"
"4_2","6","4681",,,,,"4_2"
"4_2","6","4682",,,,,"4_2"
"4_2","6","4683",,,,,"4_2"
"4_2","6","4684",,,,,"4_2"
"537_1007","everyday","3299",,,,,"537_1007"
"537_1007","everyday","3300",,,,,"537_1007"
"537_1007","everyday","4657",,,,,"537_1007"
"537_1007","everyday","4658",,,,,"537_1007"
"537_1009","everyday","3303",,,,,"537_1009"
"537_1009","everyday","3304",,,,,"537_1009"
"537_1009","everyday","4659",,,,,"537_1009"
