stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,zone_id,location_type,parent_station,stop_timezone
"P2620",,"西原上","",35.481335,138.784259,,,0,,"Asia/Tokyo"
"P2583",,"河口湖駅(4番)","",35.498465,138.768753,,,0,"S984","Asia/Tokyo"
"P2634",,"林","",35.505422,138.753140,,,0,,"Asia/Tokyo"
"P2635",,"小立入口","",35.506555,138.750176,,,0,,"Asia/Tokyo"
"P2636",,"小立","",35.506804,138.748583,,,0,,"Asia/Tokyo"
"P2637",,"冨士御室浅間神社入口","",35.506359,138.746282,,,0,,"Asia/Tokyo"
"P2638",,"勝山民宿村","",35.505450,138.740995,,,0,,"Asia/Tokyo"
"P2639",,"勝山","",35.504411,138.739343,,,0,,"Asia/Tokyo"
"P2770",,"大嵐入口","",35.498483,138.734319,,,0,,"Asia/Tokyo"
"P2771",,"大嵐","",35.494735,138.731031,,,0,,"Asia/Tokyo"
"P2772",,"大田和","",35.489540,138.727721,,,0,,"Asia/Tokyo"
"P2773",,"駐在所前","",35.483988,138.724507,,,0,,"Asia/Tokyo"
"P2774",,"一本木","",35.484683,138.718242,,,0,,"Asia/Tokyo"
"P2775",,"境野","",35.481806,138.711496,,,0,,"Asia/Tokyo"
"P2776",,"鳴沢小学校前","",35.481055,138.707159,,,0,,"Asia/Tokyo"
"P2777",,"堀の内","",35.480472,138.703860,,,0,,"Asia/Tokyo"
"P2778",,"鳴沢","",35.479991,138.701140,,,0,,"Asia/Tokyo"
"P2779",,"樹形溶岩前","",35.479544,138.696433,,,0,,"Asia/Tokyo"
"P2780",,"富士緑の休暇村","",35.477455,138.688222,,,0,,"Asia/Tokyo"
"P3146",,"紅葉台入口","",35.478548,138.675501,,,0,,"Asia/Tokyo"
"P3147",,"氷穴","",35.477840,138.664836,,,0,,"Asia/Tokyo"
"P3149",,"西湖入口","",35.487970,138.644333,,,0,,"Asia/Tokyo"
"P3150",,"赤池","",35.485410,138.619164,,,0,,"Asia/Tokyo"
"P3151",,"湖畔荘キャンプ場","",35.489035,138.611847,,,0,,"Asia/Tokyo"
"P3152",,"精進","",35.494508,138.609127,,,0,,"Asia/Tokyo"
"P3153",,"精進レイクホテル前","",35.493718,138.607228,,,0,,"Asia/Tokyo"
"P3154",,"ふじみ荘前","",35.491896,138.603966,,,0,,"Asia/Tokyo"
"P3155",,"山田屋ホテル前","",35.491442,138.602952,,,0,,"Asia/Tokyo"
"P3156",,"パノラマ台下","",35.490429,138.602346,,,0,,"Asia/Tokyo"
"P3157",,"精進キャンプ場","",35.489040,138.602840,,,0,,"Asia/Tokyo"
"P3158",,"はつかり荘前","",35.486131,138.603773,,,0,,"Asia/Tokyo"
"P3159",,"宇の岬トンネル","",35.485117,138.605796,,,0,,"Asia/Tokyo"
"P3160",,"精進湖民宿村","",35.480199,138.612522,,,0,,"Asia/Tokyo"
"P3161",,"精進湖入口","",35.479598,138.609529,,,0,,"Asia/Tokyo"
"P3162",,"上九一色中学校入口","",35.467001,138.609033,,,0,,"Asia/Tokyo"
"P3163",,"本栖湖入口","",35.462665,138.605643,,,0,,"Asia/Tokyo"
"P3164",,"本栖湖","",35.463104,138.604106,,,0,,"Asia/Tokyo"
"P3165",,"本栖湖レストハウス","",35.464886,138.602459,,,0,,"Asia/Tokyo"
"P3249",,"北の山","",35.467691,138.600088,,,0,,"Asia/Tokyo"
"P3250",,"本栖隧道","",35.471654,138.596810,,,0,,"Asia/Tokyo"
"P3251",,"大久保","",35.476997,138.593688,,,0,,"Asia/Tokyo"
"P3252",,"浩庵荘入口","",35.474293,138.575374,,,0,,"Asia/Tokyo"
"P3253",,"中屋敷","",35.475376,138.551829,,,0,,"Asia/Tokyo"
"P3254",,"灯","",35.474210,138.543922,,,0,,"Asia/Tokyo"
"P3255",,"中の倉","",35.474690,138.536557,,,0,,"Asia/Tokyo"
"P3256",,"釜額民宿入口","",35.474004,138.532453,,,0,,"Asia/Tokyo"
"P3257",,"宮の平","",35.474476,138.525404,,,0,,"Asia/Tokyo"
"P3258",,"古関","",35.474445,138.523441,,,0,,"Asia/Tokyo"
"P3259",,"丸畑入口","",35.471763,138.521199,,,0,,"Asia/Tokyo"
"P3260",,"木喰橋","",35.467827,138.512583,,,0,,"Asia/Tokyo"
"P3261",,"大曽里","",35.466796,138.501871,,,0,,"Asia/Tokyo"
"P3262",,"長塩","",35.465009,138.498995,,,0,,"Asia/Tokyo"
"P3263",,"北川","",35.462925,138.490123,,,0,,"Asia/Tokyo"
"P3264",,"市之橋","",35.459962,138.485536,,,0,,"Asia/Tokyo"
"P3265",,"境畑","",35.457520,138.483535,,,0,,"Asia/Tokyo"
"P3266",,"下境畑","",35.453827,138.481856,,,0,,"Asia/Tokyo"
"P3267",,"下部中学校入口","",35.448146,138.479544,,,0,,"Asia/Tokyo"
"P3268",,"身延町下部支所","",35.446521,138.478739,,,0,,"Asia/Tokyo"
"P3269",,"甲斐常葉","",35.444899,138.477114,,,0,,"Asia/Tokyo"
"P3270",,"出口","",35.437671,138.474759,,,0,,"Asia/Tokyo"
"P3271",,"下部温泉駅","",35.425152,138.472576,,,0,,"Asia/Tokyo"
"P3272",,"下部温泉郷","",35.424169,138.475268,,,0,,"Asia/Tokyo"
"P2640",,"奥河口湖入口","",35.503553,138.733504,,,0,,"Asia/Tokyo"
"P2642",,"平浜","",35.502968,138.720229,,,0,,"Asia/Tokyo"
"P2643",,"平浜橋","",35.504070,138.718615,,,0,,"Asia/Tokyo"
"P2644",,"長浜入口","",35.505420,138.715195,,,0,,"Asia/Tokyo"
"P2647",,"西浜学校前","",35.506651,138.710442,,,0,,"Asia/Tokyo"
"P2648",,"文化洞トンネル","",35.505033,138.702972,,,0,,"Asia/Tokyo"
"P2649",,"西湖渡船場入口","",35.505149,138.699887,,,0,,"Asia/Tokyo"
"P2651",,"森下キャンプ場","",35.505817,138.695416,,,0,,"Asia/Tokyo"
"P2652",,"浅原","",35.505418,138.693611,,,0,,"Asia/Tokyo"
"P2653",,"桑留尾","",35.503817,138.684658,,,0,,"Asia/Tokyo"
"P2654",,"観岳園キャンプ場","",35.503300,138.682126,,,0,,"Asia/Tokyo"
"P2656",,"西湖キャンプ場","",35.501155,138.670059,,,0,,"Asia/Tokyo"
"P2657",,"魚眠荘前","",35.501551,138.663833,,,0,,"Asia/Tokyo"
"P2659",,"樹海広場","",35.499334,138.662326,,,0,,"Asia/Tokyo"
"P3432",,"北富士駐屯地正門前","",35.453137,138.824409,,,0,,"Asia/Tokyo"
"P3194",,"針樅林入口","",35.454714,138.857333,,,0,,"Asia/Tokyo"
"P3195",,"上村","",35.453718,138.859484,,,0,,"Asia/Tokyo"
"P3196",,"上村中央","",35.454190,138.861313,,,0,,"Asia/Tokyo"
"P3197",,"天狗社","",35.456134,138.862451,,,0,,"Asia/Tokyo"
"P1539",,"曙町","",35.486978,138.800368,,,0,,"Asia/Tokyo"
"P1540",,"吉高入口","",35.488280,138.801194,,,0,,"Asia/Tokyo"
"P4383",,"北口本宮冨士浅間神社","",35.471675,138.792852,,,0,,"Asia/Tokyo"
"P4384",,"中の茶屋入口","",35.449442,138.776006,,,0,,"Asia/Tokyo"
"P4385",,"中の茶屋","",35.441528,138.770230,,,0,,"Asia/Tokyo"
"P4386",,"馬返","",35.413539,138.758746,,,0,,"Asia/Tokyo"
"P3166",,"富士北稜高校","",35.481645,138.790627,,,0,,"Asia/Tokyo"
"P3167",,"富士緑の休暇村","",35.476748,138.688885,,,0,,"Asia/Tokyo"
"P4397",,"揚村","",35.485909,138.720984,,,0,,"Asia/Tokyo"
"P4398",,"大田和農協前","",35.487791,138.725132,,,0,,"Asia/Tokyo"
"P3346",,"平野西口","",35.428461,138.899374,,,0,,"Asia/Tokyo"
"P3345",,"みさき","",35.423504,138.892690,,,0,,"Asia/Tokyo"
"P3344",,"山中東小学校前","",35.422647,138.892475,,,0,,"Asia/Tokyo"
"P3343",,"ままの森","",35.422254,138.883699,,,0,,"Asia/Tokyo"
"P3342",,"湖北","",35.423950,138.882980,,,0,,"Asia/Tokyo"
